,Source airport,Destination airport,Stops
0,AER,KZN,0
1,ASF,KZN,0
2,ASF,MRV,0
3,CEK,KZN,0
4,CEK,OVB,0
5,DME,KZN,0
6,DME,NBC,0
7,DME,TGK,0
8,DME,UUA,0
9,EGO,KGD,0
10,EGO,KZN,0
11,GYD,NBC,0
12,KGD,EGO,0
13,KZN,AER,0
14,KZN,ASF,0
15,KZN,CEK,0
16,KZN,DME,0
17,KZN,EGO,0
18,KZN,LED,0
19,KZN,SVX,0
20,LED,KZN,0
21,LED,NBC,0
22,LED,UUA,0
23,MRV,ASF,0
24,NBC,DME,0
25,NBC,GYD,0
26,NBC,LED,0
27,NBC,SVX,0
28,NJC,SVX,0
29,NJC,UUA,0
30,NUX,SVX,0
31,OVB,CEK,0
32,OVB,SVX,0
33,SVX,KZN,0
34,SVX,NBC,0
35,SVX,NJC,0
36,SVX,NUX,0
37,SVX,OVB,0
38,TGK,DME,0
39,UUA,DME,0
40,UUA,LED,0
41,UUA,NJC,0
42,BTK,IKT,0
43,BTK,OVB,0
45,HTA,IKT,0
46,IKT,BTK,0
47,IKT,HTA,0
48,IKT,KCK,0
49,IKT,ODO,0
50,IKT,OVB,0
51,IKT,UKX,0
52,IKT,ULK,0
53,IKT,YKS,0
54,KCK,IKT,0
55,MJZ,OVB,0
56,ODO,IKT,0
57,OVB,BTK,0
59,OVB,IKT,0
60,UKX,IKT,0
61,ULK,IKT,0
62,YKS,IKT,0
63,AYP,LIM,0
64,CUZ,LIM,0
65,CUZ,PEM,0
66,HUU,LIM,0
67,IQT,PCL,0
68,IQT,TPP,0
69,LIM,AYP,0
70,LIM,CUZ,0
71,LIM,HUU,0
72,LIM,PCL,0
73,LIM,TPP,0
74,PCL,IQT,0
75,PCL,LIM,0
76,PCL,TPP,0
77,PEM,CUZ,0
78,TPP,IQT,0
79,TPP,LIM,0
80,TPP,PCL,0
81,ABJ,BOY,0
82,ABJ,OUA,0
83,ACC,OUA,0
84,BKO,ABJ,0
85,BKO,DKR,0
86,BKO,OUA,0
87,BOY,ABJ,0
88,BOY,OUA,0
89,COO,LFW,0
90,COO,OUA,0
91,DKR,BKO,0
92,DKR,OUA,0
93,LFW,OUA,0
94,NIM,OUA,0
95,OUA,ABJ,0
96,OUA,ACC,0
97,OUA,BKO,0
98,OUA,BOY,0
99,OUA,COO,0
100,OUA,DKR,0
101,OUA,LFW,0
102,OUA,NIM,0
103,BOG,GYE,0
104,BOG,UIO,0
105,CLO,GYE,0
106,GYE,BOG,0
107,GYE,CLO,0
108,GYE,SCY,0
109,GYE,UIO,0
110,OCC,UIO,0
111,SCY,GYE,0
112,UIO,BOG,0
113,UIO,GYE,0
114,UIO,OCC,0
115,BDS,ZRH,0
116,BOD,ZRH,0
117,BRS,ZRH,0
118,GVA,LPA,0
119,LCA,ZRH,0
120,LPA,ZRH,0
121,RMF,ZRH,0
122,TFS,GVA,0
123,ZRH,BDS,0
124,ZRH,BOD,0
125,ZRH,BRS,0
126,ZRH,LCA,0
127,ZRH,LPA,0
128,ZRH,RMF,0
129,AJR,LYC,0
130,ARN,GEV,0
131,ARN,HAD,0
132,ARN,JKG,0
133,ARN,KRF,0
134,ARN,KSD,0
135,ARN,LYC,0
136,ARN,MHQ,0
137,ARN,OER,0
138,ARN,POR,0
139,ARN,TRF,0
140,ARN,VBY,0
141,ARN,VHM,0
142,ARN,VXO,0
143,GEV,ARN,0
144,GEV,KRF,0
145,HAD,ARN,0
146,HAD,JKG,0
147,HAD,VXO,0
148,HMV,VHM,0
149,JKG,ARN,0
150,JKG,HAD,0
151,KOK,POR,0
152,KRF,ARN,0
153,KRF,GEV,0
154,KSD,ARN,0
155,LYC,AJR,0
156,LYC,ARN,0
157,MHQ,ARN,0
158,MHQ,TKU,0
159,OER,ARN,0
160,OSL,VXO,0
161,POR,ARN,0
162,POR,KOK,0
163,TKU,MHQ,0
164,TRF,ARN,0
165,VBY,ARN,0
166,VHM,ARN,0
167,VHM,HMV,0
168,VXO,ARN,0
169,VXO,OSL,0
170,ADQ,AOS,0
171,ADQ,KKB,0
172,ADQ,KLN,0
173,ADQ,KOZ,0
174,ADQ,OLH,0
175,AOS,KZB,0
176,KKB,SYB,0
177,KLN,KYK,0
178,KOZ,ORI,0
179,SYB,KPR,0
180,BSO,MNL,0
181,BXU,MNL,0
182,CBO,MNL,0
183,CGY,MNL,0
184,CRM,MNL,0
185,DGT,MNL,0
186,DWC,MNL,0
187,GES,MNL,0
188,KLO,MNL,0
189,LGP,MNL,0
190,MNL,BSO,0
191,MNL,BXU,0
192,MNL,CBO,0
193,MNL,CGY,0
194,MNL,CRM,0
195,MNL,DGT,0
196,MNL,DWC,0
197,MNL,GES,0
198,MNL,KLO,0
199,MNL,LGP,0
200,MNL,MPH,0
201,MNL,OZC,0
202,MNL,PPS,0
203,MNL,RXS,0
204,MNL,SUG,0
205,MNL,TUG,0
206,MNL,ZAM,0
207,MPH,MNL,0
208,OZC,MNL,0
209,PPS,MNL,0
210,RXS,MNL,0
211,SUG,MNL,0
